247	0.044210844 0.019937763 0.094127625 0.25889432 0.11660594 -0.03992367 -0.06586794 0.09708925 0.0074705975 0.0810933 -0.13234684 -0.06003055 -0.039351784 -0.049225204 0.056135677 -0.096369036 0.1965438 0.121600434 0.10769866 0.0027414896 0.05578882 0.098491296 -0.026156597 -0.17348103 -0.13385583 -0.012941266 0.058386065 0.019864358 0.12847899 -0.05035284 0.06627246 -0.0058512725 0.009252097 0.036964886 -0.016015682 -0.16231002 0.1796013 -0.015977234 -0.013998795 -0.14340611 -0.23061702 0.0060875528 -0.063442245 0.060178712 0.110772416 0.13456868 -0.019865949 0.038561624 -0.04737699 -0.13188617 0.06724085 -0.0437258 0.026148783 0.008493117 -0.0187104 0.20691572 -0.10609211 -0.04675392 -0.20544925 0.029526528 -0.03168128 -0.15675901 -0.20709933 -0.08257975
168	0.16906092 -0.41908994 -0.3716127 -0.38972986 -0.36902577 0.61728823 0.34827203 0.25745523 0.37264657 0.13698256 0.36716488 0.19699289 0.4576365 -0.26566446 -0.48068988 0.38018838 -0.3593939 -0.31832117 -0.3535105 0.38283044 -0.20932189 0.1407043 0.12729219 -0.09644487 -0.14263797 -0.28529596 -0.18702039 0.124822065 0.03403022 0.0718068 -0.9000606 0.33498082 -0.27619258 0.3444618 -0.27282393 0.38537258 -0.35655376 -0.13072294 0.2439858 0.10207007 0.49937567 0.39102462 0.28791314 -0.8692965 -0.22933868 -0.3609838 0.25253105 -0.794423 0.3749963 0.35953265 -0.111911654 0.27278763 -0.8474768 -0.1573108 0.2938873 -0.42309192 -0.19421378 0.43133628 0.3580028 0.27519912 -0.21605597 0.33090472 0.29753715 0.23043716
268	0.38813403 -0.42201185 -0.49957007 -0.45285907 -0.5081086 -0.056133896 0.5502379 0.37765712 0.42962465 0.36066744 0.49086595 0.3506081 0.35339338 -0.46814317 -0.07546676 0.6060903 -0.4697943 -0.47492605 -0.51658034 0.49369878 -0.4011248 0.34095103 0.40719914 0.22311535 -0.30009758 -0.47500956 -0.39937013 -0.26998428 -0.28026074 0.37846506 0.49851054 0.5127335 -0.40778977 0.10219142 -0.46914274 0.38820568 -0.5624795 -0.38799143 0.3771814 0.39613888 0.3903747 0.2909637 0.40403658 0.49169946 -0.46334618 -0.50413054 0.3894632 0.44576842 0.4013617 0.5135652 -0.30866772 0.47568217 0.4768035 -0.360173 0.45409867 -0.4770751 -0.3544482 0.5700342 0.5017828 0.48913142 -0.34170926 0.51383543 0.53573173 0.39440247
17	0.23887801 -0.3279606 -0.15894301 0.14725773 -0.16145863 0.35414878 0.28178635 0.35478348 0.32984972 0.2953723 0.10698256 -0.036959503 0.3168874 -0.43683556 -0.23928905 0.16234036 0.07270373 -0.17949447 -0.20738196 0.2626468 -0.085639894 0.28369743 0.078402646 -0.6115471 -0.48985824 -0.2844851 0.020141505 0.094867066 0.3982884 0.08265269 -0.41214445 0.2212792 -0.20329803 0.33510193 -0.29141054 0.04711753 -0.009754393 -0.12140626 0.20867905 -0.08801995 -0.0069138594 0.4035478 0.06373532 -0.44533986 0.1009132 -0.043765724 0.064852975 -0.4165928 0.25453275 0.09598684 0.21675773 0.18247822 -0.4607628 -0.054651067 0.14501995 -0.00047320127 -0.43436703 0.3932216 -0.11254497 0.2747923 -0.10962525 0.050646402 -0.05748918 0.0053200275
160	0.05869407 -0.1670381 -0.19479269 -0.24429625 -0.17902699 0.289842 0.19054447 0.07106521 0.16117537 0.08387783 0.19121197 0.11047041 0.1941069 -0.07836707 -0.20157602 0.18990526 -0.18099001 -0.18017651 -0.17962947 0.16355836 -0.15396374 0.027509104 0.08960387 -0.07993058 0.0043024197 -0.12372297 -0.13035905 0.030010924 0.0015636673 0.08589897 -0.46964017 0.1772883 -0.15235479 0.13059545 -0.10050853 0.20117848 -0.1932213 -0.065912455 0.12567414 0.12102042 0.2587716 0.16001114 0.12798996 -0.45317876 -0.124162495 -0.18256174 0.11045247 -0.41419134 0.14328054 0.24616228 -0.046623625 0.14934888 -0.44161603 -0.11422044 0.13643312 -0.17206389 -0.055185147 0.14113277 0.1818048 0.09589878 -0.075691454 0.19678043 0.20175377 0.096514374
170	-0.110549584 -0.12749638 -0.24780135 -0.62402534 -0.32579815 0.29244173 0.3052596 -0.18370663 0.025827158 -0.22853447 0.35249746 0.08912342 0.15089068 0.13648996 -0.21242979 0.33559537 -0.44035304 -0.26667842 -0.3340508 0.011978213 -0.2689763 -0.17905946 0.14171112 0.31081435 0.3465281 0.031219158 -0.20417644 0.025855727 -0.29191905 0.13786963 -0.5096767 0.15805428 -0.111153096 -0.089170486 -0.027253829 0.34194386 -0.37057635 -0.057766475 0.09929155 0.24188517 0.58258194 -0.063238785 0.19903186 -0.4210419 -0.33070737 -0.30393684 0.16323422 -0.4058224 0.15490039 0.37011942 -0.09477417 0.26839447 -0.46009284 -0.173259 0.16891462 -0.49903557 0.2603958 0.11177853 0.453403 0.043002777 0.0320905 0.4309151 0.5567825 0.25716606
91	0.16302745 -0.32747543 -0.19325775 -0.112158194 -0.18445398 0.42688262 0.19380909 0.3069053 0.3282069 0.23807755 0.17177933 0.1886057 0.34528935 -0.30005783 -0.3490995 0.20986399 -0.15358661 -0.1957709 -0.19161943 0.31171238 -0.14704424 0.24037017 0.08720368 -0.20589647 -0.313438 -0.2827445 -0.10989129 0.06153005 0.16880131 0.04977035 -0.60288084 0.2871931 -0.22714785 0.34118557 -0.22469784 0.20845856 -0.17597519 -0.12816922 0.22321287 0.072778344 0.18538961 0.32708412 0.20299576 -0.58768 -0.10841276 -0.17994958 0.18266322 -0.53490305 0.24952412 0.21476312 -0.084138535 0.16701007 -0.56589025 -0.11911526 0.19587716 -0.14521243 -0.33003938 0.3234885 0.15874527 0.22976738 -0.22273979 0.11418985 0.023256678 0.15234439
219	0.11481415 -0.38928333 -0.26168355 0.09607065 -0.23205896 0.39717558 0.3347551 0.38299075 0.37141684 0.17543486 0.15827107 -0.19008376 0.365701 -0.4325972 -0.29599103 0.1878207 0.034842294 -0.24532971 -0.27772504 0.1890096 -0.073818855 0.194184 0.08730516 -0.69396484 -0.47890085 -0.23303042 0.12576637 0.20969656 0.51957655 -0.0019341931 -0.4412289 0.14200714 -0.19273572 0.35113078 -0.32349348 0.042715427 -0.10089635 -0.023709726 0.17458872 -0.13576663 0.020536076 0.44201073 0.051786616 -0.48135677 0.13413906 -0.06826133 0.0075103007 -0.44208577 0.30618232 0.10327774 0.28767335 0.16160668 -0.48170602 0.078704685 0.11265126 -0.15004934 -0.39336556 0.4513682 -0.11589528 0.3606126 0.021006536 0.094538175 0.015213317 -0.010511246
10	0.1126207 -0.11102563 -0.18618682 -0.5277251 -0.21674761 0.2848303 0.2061928 -0.019603703 0.13160412 0.14402065 0.2603513 0.34120843 0.1000108 -0.026208878 -0.325298 0.18633734 -0.35214153 -0.27824154 -0.21080081 -0.03652506 -0.36087993 0.091941305 0.32044715 0.63557935 -0.049851414 -0.12738316 -0.3686373 -0.39208463 -0.6162928 0.43308592 -0.17492576 0.083024174 -0.1914342 0.14564623 -0.12603244 0.24806786 -0.23017828 -0.34971547 0.18622123 0.47219104 0.36075503 0.04188264 0.2298561 -0.17123082 -0.3808257 -0.21875207 0.1908587 -0.22377369 0.09782745 0.29046318 -0.3890802 0.26431605 -0.18389243 -0.29370794 0.25501767 -0.34153068 -0.05986888 -0.014314197 0.40150064 0.056367747 -0.1073119 0.3035995 0.46648562 0.27475667
188	0.15532994 -0.30095345 -0.2651227 -0.21204889 -0.24001697 0.46375066 0.23993786 0.20047495 0.28208482 0.11070981 0.24330449 0.06976333 0.30559045 -0.23786598 -0.35069567 0.24094415 -0.20233537 -0.22947006 -0.2564206 0.2733317 -0.115144625 0.087122485 0.059556454 -0.29324508 -0.16149858 -0.20156851 -0.09502474 0.18226385 0.19699517 -0.030245451 -0.6674625 0.24588573 -0.2149463 0.24965328 -0.2122718 0.27724504 -0.19415382 -0.011091126 0.215022 0.013598321 0.28552186 0.31067473 0.16318674 -0.67498994 -0.10270052 -0.18515515 0.12110421 -0.5740733 0.2637961 0.2295178 0.029701864 0.18400621 -0.6712537 -0.09967619 0.18980867 -0.25980136 -0.20069966 0.3291095 0.17761967 0.21154752 -0.11507328 0.21443464 0.15900527 0.1145606
